age,citizenship,event_location,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by
42.0,Israeli,Tel Aviv-Yafo,Israel,Israel,M,,Bat Yam,Israel,gunfire,live ammunition,Palestinian civilians
18.0,Palestinian,Burqah,Ramallah and al-Bira,West Bank,M,,Burka,Ramallah and al-Bira,gunfire,live ammunition,Israeli civilians
17.0,Palestinian,Tulkarm,Tulkarm,West Bank,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
17.0,Palestinian,Ofra,Ramallah and al-Bira,West Bank,M,,Silwad,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
20.0,Palestinian,Ma'ale Adumim,al-Quds,West Bank,M,,al-'Eizariyah,al-Quds,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Mitzpe Eshtamoa,Hebron,West Bank,M,,a-Samu',Hebron,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,'Ein Beit al-Maa R.C.,Nablus,West Bank,M,,Ein Beit al-Maa R.C.,Nablus,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
42.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
18.0,Palestinian,Sabastiya,Nablus,West Bank,M,,Sabastiya,Nablus,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Um Safa,Ramallah and al-Bira,West Bank,M,,Deir Dobwan,Ramallah and al-Bira,gunfire,missile,Israeli security forces
18.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
33.0,Palestinian,Deir Nizam,Ramallah and al-Bira,West Bank,M,,Shuqba,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
34.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Um Safa,Ramallah and al-Bira,West Bank,M,,Arura,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
20.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,,a-Samu',Hebron,gunfire,live ammunition,Israeli civilians
20.0,Palestinian,Jenin,Jenin,West Bank,M,,Meithalun,Jenin,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Jenin,Jenin,West Bank,M,,Fahma,Jenin,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
18.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,al-Birah,Ramallah and al-Bira,West Bank,M,,Ramallah,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
26.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
17.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Jenin,Jenin,West Bank,M,,Jaba',Jenin,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Qalandia,al-Quds,West Bank,M,,Kafr 'Aqab (Jerusalem),East Jerusalem,gunfire,live ammunition,Israeli security forces
39.0,Palestinian,'Askar R.C.,Nablus,West Bank,M,,Askar R.C.,Nablus,gunfire,live ammunition,Israeli security forces
28.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
27.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
24.0,Palestinian,Turmusaya,Ramallah and al-Bira,West Bank,M,,Turmusaya,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
17.0,Israeli,Eli,Nablus,West Bank,M,,Ahiya,Ramallah and al-Bira,gunfire,live ammunition,Palestinian civilians
24.0,Palestinian,Tubas,Tubas,West Bank,M,,Urif,Nablus,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Eli,Nablus,West Bank,M,,Urif,Nablus,gunfire,live ammunition,Israeli civilians
21.0,Israeli,Eli,Nablus,West Bank,M,,Yad Binyamin,Israel,gunfire,live ammunition,Palestinian civilians
18.0,Israeli,Eli,Nablus,West Bank,M,,Eli,Nablus,gunfire,live ammunition,Palestinian civilians
64.0,Israeli,Eli,Nablus,West Bank,M,,Eli,Nablus,gunfire,live ammunition,Palestinian civilians
18.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Tubas,Tubas,gunfire,live ammunition,Israeli security forces
14.0,Palestinian,Jenin R.C.,Jenin,West Bank,F,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Husan,Bethlehem,West Bank,M,,Husan,Bethlehem,gunfire,live ammunition,Israeli security forces
48.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
14.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Wadi Burqin,Jenin,gunfire,live ammunition,Israeli security forces
31.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Nablus,Nablus,West Bank,M,,Ein Beit al-Maa R.C.,Nablus,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
29.0,Palestinian,Rantis,Ramallah and al-Bira,West Bank,M,,Ramallah,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
2.0,Palestinian,a-Nabi Saleh,Ramallah and al-Bira,West Bank,M,,a-Nabi Saleh,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
32.0,Israeli,Hermesh,Jenin,West Bank,M,,Hermesh,Jenin,gunfire,live ammunition,Palestinian civilians
38.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Tene,Hebron,West Bank,M,,a-Dhahiriyah,Hebron,gunfire,live ammunition,Israeli civilians
24.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
30.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
30.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,'Askar R.C.,Nablus,West Bank,M,,'Askar R.C. (New),Nablus,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Barta'ah a-Sharqiyah,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
51.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces
33.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces
49.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
66.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
82.0,Israeli,Rehovot,Israel,Israel,F,,Rehovot,Israel,gunfire,rocket,Palestinian civilians
43.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces
43.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
36.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
31.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
33.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,Qabatiyah,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
28.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
26.0,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
18.0,Palestinian,Qabatiyah,Jenin,West Bank,M,,Qabatiyah,Jenin,gunfire,live ammunition,Israeli security forces
30.0,Palestinian,Qabatiyah,Jenin,West Bank,M,,Qabatiyah,Jenin,gunfire,live ammunition,Israeli security forces
17.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
8.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
33.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
27.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
48.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
52.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
44.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
10.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
61.0,Palestinian,Rafah,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
4.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
61.0,Palestinian,Rafah,Rafah,Gaza Strip,F,No,Rafah,Rafah,gunfire,missile,Israeli security forces
19.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
44.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
43.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,,Tulkarm R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,,Tulkarm R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
26.0,Palestinian,Huwarah,Nablus,West Bank,F,,Huwara,Nablus,gunfire,live ammunition,Israeli security forces
35.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
35.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
45.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
58.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Tekoa,Bethlehem,West Bank,M,,Tekoa,Bethlehem,gunfire,live ammunition,Israeli security forces
39.0,Palestinian,Ari'el,Nablus,West Bank,M,,Bidya,Salfit,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
38.0,Palestinian,Elon Moreh,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
35.0,Palestinian,Elon Moreh,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
17.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,Shu'fat R.C.,East Jerusalem,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,'Azzun,Qalqiliya,West Bank,M,,Azzun,Qalqiliya,gunfire,live ammunition,Israeli security forces
16.0,Israeli,Hamra,Jericho,West Bank,F,,Efrat,Bethlehem,gunfire,live ammunition,Palestinian civilians
48.0,Israeli,Hamra,Jericho,West Bank,F,,Efrat,Bethlehem,gunfire,live ammunition,Palestinian civilians
20.0,Israeli,Hamra,Jericho,West Bank,F,,Efrat,Bethlehem,gunfire,live ammunition,Palestinian civilians
20.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
42.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Beit Ummar,Hebron,West Bank,M,,Surif,Hebron,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,'Izbat Shufah,Tulkarm,West Bank,M,,'Izbat Shufah,Tulkarm,gunfire,missile,Israeli security forces
22.0,Palestinian,al-Birah,Ramallah and al-Bira,West Bank,M,,Qaffin,Tulkarm,gunfire,live ammunition,Israeli security forces
29.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
28.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
35.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
14.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Sarra,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,Sarra,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
18.0,Palestinian,Sarra,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Havat Dorot Ilit,Qalqiliya,West Bank,M,,Sanniriya,Qalqiliya,gunfire,live ammunition,Israeli civilians
14.0,Palestinian,Qalqiliyah,Qalqiliya,West Bank,M,,Qalqiliya,Qalqiliya,gunfire,live ammunition,Israeli security forces
32.0,Israeli,Tel Aviv-Yafo,Israel,Israel,M,,Tel Aviv-Yafo,Israel,gunfire,live ammunition,Palestinian civilians
29.0,Palestinian,Jaba',Jenin,West Bank,M,,Jaba',Jenin,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,,Ni'lin,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,Jaba',Jenin,West Bank,M,,Jaba',Jenin,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Jaba',Jenin,West Bank,M,,Jaba',Jenin,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
26.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
27.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
49.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Askar R.C.,Nablus,gunfire,live ammunition,Israeli security forces
31.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Birqin,Jenin,gunfire,live ammunition,Israeli security forces
29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
17.0,Palestinian,'Azzun,Qalqiliya,West Bank,M,,Azzun,Qalqiliya,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
26.0,Israeli,Jericho,Jericho,West Bank,M,,,Gaza,gunfire,live ammunition,Palestinian civilians
20.0,Israeli,Huwarah,Nablus,West Bank,M,,Har Bracha,Nablus,gunfire,live ammunition,Palestinian civilians
22.0,Israeli,Huwarah,Nablus,West Bank,M,,Har Bracha,Nablus,gunfire,live ammunition,Palestinian civilians
20.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,,al-'Arrub Camp,Hebron,gunfire,live ammunition,Israeli security forces
28.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,missile,Israeli security forces
24.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,missile,Israeli security forces
25.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
32.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
64.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
71.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
23.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,missile,Israeli security forces
17.0,Palestinian,al-Far'ah R.C.,Tubas,West Bank,M,,al-Far'a Camp,Tubas,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Nablus,Nablus,West Bank,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,al-'Araqah,Jenin,gunfire,live ammunition,Israeli security forces
27.0,Palestinian,Qarawat Bani Hassan,Salfit,West Bank,M,,Qarawat Bani Hassan,Salfit,gunfire,live ammunition,Israeli civilians
6.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,,Ramot Alon,East Jerusalem,hit by a vehicle,missile,Palestinian civilians
8.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,,Ramot Alon,East Jerusalem,hit by a vehicle,missile,Palestinian civilians
20.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,,Jerusalem,Israel,hit by a vehicle,missile,Palestinian civilians
31.0,Palestinian,Ramot Alon,East Jerusalem,West Bank,M,,al-'Esawiyah,East Jerusalem,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,al-Fawar R.C.,Hebron,West Bank,M,,a-Dhahiriyah,Hebron,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Nablus,Nablus,West Bank,M,,Askar R.C.,Nablus,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,0.22-caliber bullets,Israeli security forces
21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
27.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
26.745702592087312,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Huwarah,Nablus,West Bank,M,,al-Judeidah,Jenin,gunfire,live ammunition,Israeli security forces
26.0,Palestinian,Hebron,Hebron,West Bank,M,,Hebron,Hebron,gunfire,live ammunition,Israeli security forces
18.0,Palestinian,Kedumim,Tulkarm,West Bank,M,,Qusin,Nablus,gunfire,live ammunition,Israeli civilians
21.0,Palestinian,Neve Ya'akov,East Jerusalem,West Bank,M,,Ras al-'Amud,East Jerusalem,gunfire,live ammunition,Israeli security forces
68.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,M,,Pisgat Ze'ev,East Jerusalem,gunfire,live ammunition,Palestinian civilians
45.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,F,,Bet Shemesh,Israel,gunfire,live ammunition,Palestinian civilians
48.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,M,,Bet Shemesh,Israel,gunfire,live ammunition,Palestinian civilians
14.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,M,,Neve Ya'akov,East Jerusalem,gunfire,live ammunition,Palestinian civilians
